------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |     113116.339997   |  2.020e 03 | AA   |    24.3097266750498     -     24.419334350260     |  1s.7f - 1s.9d  |  1F* - 3D  |    |
                     |     113116.354675   |  1.864e 02 | AA   |    24.3097266750498     -     24.419334336036     |  1s.7f - 1s.9d  |  1F* - 3D  |    |
                     |     113974.9977     |  2.834e 00 | AA   |    24.20081423942       -     24.309596159181     |  1s.6p - 1s.7d  |  3P* - 1D  |    |
                     |     113975.3335     |  7.815e 00 | AA   |    24.20081455989       -     24.309596159181     |  1s.6p - 1s.7d  |  3P* - 1D  |    |
                     |     114033.7303     |  3.7090e 03| AAA  |    24.20081423942       -     24.309540131498     |  1s.6p - 1s.7d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     114034.0664     |  5.5635e 04| AAA  |    24.20081455989       -     24.309540131498     |  1s.6p - 1s.7d  |  3P* - 3D  |    |
                     |     114034.1776     |  3.3378e 04| AAA  |    24.20081423942       -     24.309539705033     |  1s.6p - 1s.7d  |  3P* - 3D  |    |
                     |     114034.2089     |  1.3352e 05| AAA  |    24.20081423942       -     24.309539675152     |  1s.6p - 1s.7d  |  3P* - 3D  |    |
                     |     114034.5137     |  1.0013e 05| AAA  |    24.20081455989       -     24.309539705033     |  1s.6p - 1s.7d  |  3P* - 3D  |    |
                     |     114038.1917     |  7.4180e 04| AAA  |    24.20081849295       -     24.309540131498     |  1s.6p - 1s.7d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     114108.20357    |  5.6491e 05| AAA  |    24.31070695665       -     24.419361888242     |  1s.7p - 1s.9d  |  1P* - 1D  |    |
                     |     114137.13099    |  4.276e 00 | AA   |    24.31070695665       -     24.419334350260     |  1s.7p - 1s.9d  |  1P* - 3D  |    |
                     |     115518.13857    |  2.7705e 04| AAA  |    24.309540131498      -     24.41686889570      |  1s.7d - 1s.9p  |  3D  - 3P* |    |
                     |     115518.91233    |  2.0777e 04| AAA  |    24.309539705033      -     24.41686775032      |  1s.7d - 1s.9p  |  3D  - 3P* |    |
                     |     115518.98051    |  2.3272e 04| AAA  |    24.309539675152      -     24.41686765711      |  1s.7d - 1s.9p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     115519.01267    |  4.1554e 03| AAA  |    24.309539705033      -     24.41686765711      |  1s.7d - 1s.9p  |  3D  - 3P* |    |
                     |     115519.37135    |  6.9262e 03| AAA  |    24.309540131498      -     24.41686775032      |  1s.7d - 1s.9p  |  3D  - 3P* |    |
                     |     115519.47168    |  2.7705e 02| AAA  |    24.309540131498      -     24.41686765711      |  1s.7d - 1s.9p  |  3D  - 3P* |    |
                     |     115579.70682    |  1.680e 00 | AA   |    24.309596159181      -     24.41686775032      |  1s.7d - 1s.9p  |  1D  - 3P* |    |
                     |     119807.4963     |  5.4783e 04| AAA  |    24.30428797980       -     24.40777415089      |  1s.7p - 1s.9s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     119807.7279     |  3.2870e 04| AAA  |    24.30428817993       -     24.40777415089      |  1s.7p - 1s.9s  |  3P* - 3S  |    |
                     |     119810.5735     |  1.0957e 04| AAA  |    24.30429063780       -     24.40777415089      |  1s.7p - 1s.9s  |  3P* - 3S  |    |
                     |     119930.6634     |  8.3180e 04| AAA  |    24.31070695665       -     24.41408684884      |  1s.7p - 1s.9s  |  1P* - 1S  |    |
                     |     122097.76167    |  3.830e 00 | AA   |    24.209161941509      -     24.31070695665      |  1s.6d - 1s.7p  |  3D  - 1P* |    |
                     |     122202.02254    |  4.5011e 04| AAA  |    24.209248578139      -     24.31070695665      |  1s.6d - 1s.7p  |  1D  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123287.884666   |  7.135e 03 | AA   |    24.209161894586      -     24.3097266750498    |  1s.6d - 1s.7f  |  3D  - 1F* |    |
                     |     123287.942192   |  5.508e 04 | AA   |    24.209161941509      -     24.3097266750498    |  1s.6d - 1s.7f  |  3D  - 1F* |    |
                     |     123288.239583   |  1.1488e 03| AAA  |    24.209161894586      -     24.3097263855486    |  1s.6d - 1s.7f  |  3D  - 3F* |    |
                     |     123288.297109   |  4.0204e 04| AAA  |    24.209161941509      -     24.3097263855486    |  1s.6d - 1s.7f  |  3D  - 3F* |    |
                     |     123288.483769   |  2.5848e 05| AAA  |    24.209161894586      -     24.3097261863695    |  1s.6d - 1s.7f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123288.627489   |  2.1585e 04| AAA  |    24.209161894586      -     24.3097260691402    |  1s.6d - 1s.7f  |  3D  - 3F* |    |
                     |     123288.685015   |  1.7468e 05| AAA  |    24.209161941509      -     24.3097260691402    |  1s.6d - 1s.7f  |  3D  - 3F* |    |
                     |     123289.128020   |  2.1712e 05| AAA  |    24.209162619267      -     24.3097263855486    |  1s.6d - 1s.7f  |  3D  - 3F* |    |
                     |     123394.246472   |  1.9652e 05| AAA  |    24.209248578139      -     24.3097266750498    |  1s.6d - 1s.7f  |  1D  - 1F* |    |
                     |     123394.602001   |  3.641e 00 | AA   |    24.209248578139      -     24.3097263855486    |  1s.6d - 1s.7f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123394.990576   |  6.230e 04 | AA   |    24.209248578139      -     24.3097260691402    |  1s.6d - 1s.7f  |  1D  - 3F* |    |
                     |     123617.482670   |  1.512e 04 | AA   |    24.2094536118806     -     24.3097502591462    |  1s.6f - 1s.7g  |  3F* - 1G  |    |
                     |     123617.577348   |  2.2135e 04| AAA  |    24.2094536118806     -     24.3097501823303    |  1s.6f - 1s.7g  |  3F* - 3G  |    |
                     |     123617.727881   |  1.130e 04 | AA   |    24.2094538108310     -     24.3097502591462    |  1s.6f - 1s.7g  |  3F* - 1G  |    |
                     |     123617.822559   |  4.8025e 02| AAA  |    24.2094538108310     -     24.3097501823303    |  1s.6f - 1s.7g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123617.871644   |  3.4418e 05| AAA  |    24.2094536118806     -     24.3097499435551    |  1s.6f - 1s.7g  |  3F* - 3G  |    |
                     |     123617.962812   |  3.7651e 05| AAA  |    24.2094538108310     -     24.3097500685367    |  1s.6f - 1s.7g  |  3F* - 3G  |    |
                     |     123618.116856   |  1.2231e 04| AAA  |    24.2094538108310     -     24.3097499435551    |  1s.6f - 1s.7g  |  3F* - 3G  |    |
                     |     123618.212468   |  3.4578e 05| AAA  |    24.2094541271798     -     24.3097501823303    |  1s.6f - 1s.7g  |  3F* - 3G  |    |
                     |     123618.639096   |  3.5009e 05| AAA  |    24.2094545501337     -     24.3097502591462    |  1s.6f - 1s.7g  |  1F* - 1G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123618.733775   |  8.121e 03 | AA   |    24.2094545501337     -     24.3097501823303    |  1s.6f - 1s.7g  |  1F* - 3G  |    |
                     |     123619.028076   |  2.011e 04 | AA   |    24.2094545501337     -     24.3097499435551    |  1s.6f - 1s.7g  |  1F* - 3G  |    |
                     |     123656.2996412  |  1.863e 01 | AA   |    24.2094906664828     -     24.3097558296102    |  1s.6g - 1s.7h  |  3G  - 1H* |    |
                     |     123656.3677404  |  1.3526e 04| AAA  |    24.2094906664828     -     24.3097557743929    |  1s.6g - 1s.7h  |  3G  - 3H* |    |
                     |     123656.5445794  |  1.033e 04 | AA   |    24.2094908650874     -     24.3097558296102    |  1s.6g - 1s.7h  |  3G  - 1H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123656.5595475  |  5.2151e 05| AAA  |    24.2094906664828     -     24.3097556188690    |  1s.6g - 1s.7h  |  3G  - 3H* |    |
                     |     123656.6126788  |  2.6301e 02| AAA  |    24.2094908650874     -     24.3097557743929    |  1s.6g - 1s.7h  |  3G  - 3H* |    |
                     |     123656.7039395  |  5.3259e 05| AAA  |    24.2094908650874     -     24.3097557003958    |  1s.6g - 1s.7h  |  3G  - 3H* |    |
                     |     123656.8044867  |  1.0977e 04| AAA  |    24.2094908650874     -     24.3097556188690    |  1s.6g - 1s.7h  |  3G  - 3H* |    |
                     |     123656.8355513  |  5.0629e 05| AAA  |    24.2094910457995     -     24.3097557743929    |  1s.6g - 1s.7h  |  3G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123656.9176965  |  5.2225e 05| AAA  |    24.2094911676227     -     24.3097558296102    |  1s.6g - 1s.7h  |  1G  - 1H* |    |
                     |     123656.9857964  |  1.251e 04 | AA   |    24.2094911676227     -     24.3097557743929    |  1s.6g - 1s.7h  |  1G  - 3H* |    |
                     |     123657.1776054  |  1.086e 02 | AA   |    24.2094911676227     -     24.3097556188690    |  1s.6g - 1s.7h  |  1G  - 3H* |    |
                     |     123664.8745170  |  1.600e 01 | AA   |    24.2094993414828     -     24.3097575522616    |  1s.6h - 1s.7i  |  3H* - 1I  |    |
                     |     123664.9255775  |  1.2537e 04| AAA  |    24.2094993414828     -     24.3097575108656    |  1s.6h - 1s.7i  |  3H* - 3I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123665.0342028  |  1.003e 04 | AA   |    24.2094994709438     -     24.3097575522616    |  1s.6h - 1s.7i  |  3H* - 1I  |    |
                     |     123665.0603794  |  7.3058e 05| AAA  |    24.2094993414828     -     24.3097574015785    |  1s.6h - 1s.7i  |  3H* - 3I  |    |
                     |     123665.0852634  |  1.7016e 02| AAA  |    24.2094994709438     -     24.3097575108656    |  1s.6h - 1s.7i  |  3H* - 3I  |    |
                     |     123665.1495330  |  7.4121e 05| AAA  |    24.2094994709438     -     24.3097574587609    |  1s.6h - 1s.7i  |  3H* - 3I  |    |
                     |     123665.2200656  |  1.0560e 04| AAA  |    24.2094994709438     -     24.3097574015785    |  1s.6h - 1s.7i  |  3H* - 3I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123665.2302053  |  7.1671e 05| AAA  |    24.2094995884513     -     24.3097575108656    |  1s.6h - 1s.7i  |  3H* - 3I  |    |
                     |     123665.2872969  |  7.3116e 05| AAA  |    24.2094996761326     -     24.3097575522616    |  1s.6h - 1s.7i  |  1H* - 1I  |    |
                     |     123665.3383576  |  1.180e 04 | AA   |    24.2094996761326     -     24.3097575108656    |  1s.6h - 1s.7i  |  1H* - 3I  |    |
                     |     123665.4731605  |  6.460e 01 | AA   |    24.2094996761326     -     24.3097574015785    |  1s.6h - 1s.7i  |  1H* - 3I  |    |
                     |     123674.1061100  |  5.6645e 01| AAA  |    24.2094993414828     -     24.3097500685367    |  1s.6h - 1s.7g  |  3H* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123674.1756372  |  6.453e 01 | AA   |    24.2094995884513     -     24.3097502591462    |  1s.6h - 1s.7g  |  3H* - 1G  |    |
                     |     123674.2602934  |  3.2892e 03| AAA  |    24.2094993414828     -     24.3097499435551    |  1s.6h - 1s.7g  |  3H* - 3G  |    |
                     |     123674.2658196  |  3.2481e 03| AAA  |    24.2094994709438     -     24.3097500685367    |  1s.6h - 1s.7g  |  3H* - 3G  |    |
                     |     123674.2704011  |  3.3592e 03| AAA  |    24.2094995884513     -     24.3097501823303    |  1s.6h - 1s.7g  |  3H* - 3G  |    |
                     |     123674.2838052  |  3.2939e 03| AAA  |    24.2094996761326     -     24.3097502591462    |  1s.6h - 1s.7g  |  1H* - 1G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123674.4107831  |  1.1105e 00| AAA  |    24.2094995884513     -     24.3097500685367    |  1s.6h - 1s.7g  |  3H* - 3G  |    |
                     |     123674.5189515  |  5.329e 01 | AA   |    24.2094996761326     -     24.3097500685367    |  1s.6h - 1s.7g  |  1H* - 3G  |    |
                     |     123674.5649672  |  6.9839e 01| AAA  |    24.2094995884513     -     24.3097499435551    |  1s.6h - 1s.7g  |  3H* - 3G  |    |
                     |     123692.2662076  |  7.143e 02 | AA   |    24.2094906664828     -     24.3097266750498    |  1s.6g - 1s.7f  |  3G  - 1F* |    |
                     |     123692.7342902  |  1.731e 02 | AA   |    24.2094910457995     -     24.3097266750498    |  1s.6g - 1s.7f  |  3G  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123692.8692471  |  2.8151e 02| AAA  |    24.2094906664828     -     24.3097261863695    |  1s.6g - 1s.7f  |  3G  - 3F* |    |
                     |     123692.8846225  |  1.0260e 04| AAA  |    24.2094911676227     -     24.3097266750498    |  1s.6g - 1s.7f  |  1G  - 1F* |    |
                     |     123693.0139108  |  1.0072e 04| AAA  |    24.2094906664828     -     24.3097260691402    |  1s.6g - 1s.7f  |  3G  - 3F* |    |
                     |     123693.0915415  |  1.1148e 04| AAA  |    24.2094910457995     -     24.3097263855486    |  1s.6g - 1s.7f  |  3G  - 3F* |    |
                     |     123693.1143302  |  1.0598e 04| AAA  |    24.2094908650874     -     24.3097261863695    |  1s.6g - 1s.7f  |  3G  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123693.3373343  |  8.6019e 00| AAA  |    24.2094910457995     -     24.3097261863695    |  1s.6g - 1s.7f  |  3G  - 3F* |    |
                     |     123693.4819990  |  5.2366e 02| AAA  |    24.2094910457995     -     24.3097260691402    |  1s.6g - 1s.7f  |  3G  - 3F* |    |
                     |     123693.4876681  |  2.604e 02 | AA   |    24.2094911676227     -     24.3097261863695    |  1s.6g - 1s.7f  |  1G  - 3F* |    |
                     |     123693.6323332  |  5.527e 02 | AA   |    24.2094911676227     -     24.3097260691402    |  1s.6g - 1s.7f  |  1G  - 3F* |    |
                     |     123807.706011   |  6.695e 03 | AA   |    24.2094536118806     -     24.309596159181     |  1s.6f - 1s.7d  |  3F* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123808.865998   |  1.8985e 04| AAA  |    24.2094545501337     -     24.309596159181     |  1s.6f - 1s.7d  |  1F* - 1D  |    |
                     |     123877.540473   |  1.7017e 04| AAA  |    24.2094536118806     -     24.309539705033     |  1s.6f - 1s.7d  |  3F* - 3D  |    |
                     |     123877.577456   |  1.5017e 03| AAA  |    24.2094536118806     -     24.309539675152     |  1s.6f - 1s.7d  |  3F* - 3D  |    |
                     |     123877.650423   |  2.5864e 04| AAA  |    24.2094541271798     -     24.309540131498     |  1s.6f - 1s.7d  |  3F* - 3D  |    |
                     |     123877.823700   |  2.3752e 04| AAA  |    24.2094538108310     -     24.309539675152     |  1s.6f - 1s.7d  |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     123878.178268   |  2.8735e 03| AAA  |    24.2094541271798     -     24.309539705033     |  1s.6f - 1s.7d  |  3F* - 3D  |    |
                     |     123878.215251   |  5.8648e 01| AAA  |    24.2094541271798     -     24.309539675152     |  1s.6f - 1s.7d  |  3F* - 3D  |    |
                     |     123878.701769   |  5.973e 03 | AA   |    24.2094545501337     -     24.309539705033     |  1s.6f - 1s.7d  |  1F* - 3D  |    |
                     |     123878.738753   |  5.509e 02 | AA   |    24.2094545501337     -     24.309539675152     |  1s.6f - 1s.7d  |  1F* - 3D  |    |
                     |     125751.3775     |  1.7789e 05| AAA  |    24.21100146141       -     24.309596159181     |  1s.6p - 1s.7d  |  1P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     125823.4225     |  1.454e 01 | AA   |    24.21100146141       -     24.309539705033     |  1s.6p - 1s.7d  |  1P* - 3D  |    |
                     |     130334.04087    |  8.2462e 04| AAA  |    24.209162619267      -     24.30429063780      |  1s.6d - 1s.7p  |  3D  - 3P* |    |
                     |     130336.47983    |  6.1841e 04| AAA  |    24.209161941509      -     24.30428817993      |  1s.6d - 1s.7p  |  3D  - 3P* |    |
                     |     130336.68974    |  6.9268e 04| AAA  |    24.209161894586      -     24.30428797980      |  1s.6d - 1s.7p  |  3D  - 3P* |    |
                     |     130336.75403    |  1.2368e 04| AAA  |    24.209161941509      -     24.30428797980      |  1s.6d - 1s.7p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     130337.40846    |  2.0616e 04| AAA  |    24.209162619267      -     24.30428817993      |  1s.6d - 1s.7p  |  3D  - 3P* |    |
                     |     130337.68267    |  8.2462e 02| AAA  |    24.209162619267      -     24.30428797980      |  1s.6d - 1s.7p  |  3D  - 3P* |    |
                     |     130455.29255    |  5.379e 00 | AA   |    24.209248578139      -     24.30428817993      |  1s.6d - 1s.7p  |  1D  - 3P* |    |
                     |     130455.56725    |  1.120e 00 | AA   |    24.209248578139      -     24.30428797980      |  1s.6d - 1s.7p  |  1D  - 3P* |    |
                     |     135689.2292     |  2.5922e 03| AAA  |    24.35810291895       -     24.44947656095      |  1s.8s - 1s.10p |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     135690.4653     |  2.5922e 03| AAA  |    24.35810291895       -     24.44947572861      |  1s.8s - 1s.10p |  3S  - 3P* |    |
                     |     135690.5658     |  2.5922e 03| AAA  |    24.35810291895       -     24.44947566090      |  1s.8s - 1s.10p |  3S  - 3P* |    |
                     |     142048.1348     |  2.7091e 05| AAA  |    24.21100146141       -     24.2982846847       |  1s.6p - 1s.7s  |  1P* - 1S  |    |
                     |     143166.1508     |  4.3310e 03| AAA  |    24.2845648163        -     24.37116642567      |  1s.7s - 1s.8p  |  3S  - 3P* |    |
                     |     143168.8579     |  4.3310e 03| AAA  |    24.2845648163        -     24.37116478815      |  1s.7s - 1s.8p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     143169.0783     |  4.3310e 03| AAA  |    24.2845648163        -     24.37116465485      |  1s.7s - 1s.8p  |  3S  - 3P* |    |
                     |     146729.6723     |  6.7967e 03| AAA  |    24.36717885210       -     24.45167722834      |  1s.8s - 1s.10p |  1S  - 1P* |    |
                     |     148039.8047     |  1.9268e 05| AAA  |    24.20081423942       -     24.2845648163       |  1s.6p - 1s.7s  |  3P* - 3S  |    |
                     |     148040.3711     |  1.1561e 05| AAA  |    24.20081455989       -     24.2845648163       |  1s.6p - 1s.7s  |  3P* - 3S  |    |
                     |     148047.3237     |  3.8536e 04| AAA  |    24.20081849295       -     24.2845648163       |  1s.6p - 1s.7s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     154732.50129    |  1.220e 00 | AA   |    24.37116478815       -     24.4512928734042    |  1s.8p - 1s.10d |  3P* - 1D  |    |
                     |     154771.13728    |  6.3372e 02| AAA  |    24.37116465485       -     24.451272737498     |  1s.8p - 1s.10d |  3P* - 3D  |    |
                     |     154771.39480    |  9.5057e 03| AAA  |    24.37116478815       -     24.451272737498     |  1s.8p - 1s.10d |  3P* - 3D  |    |
                     |     154771.41955    |  5.7030e 03| AAA  |    24.37116465485       -     24.451272591392     |  1s.8p - 1s.10d |  3P* - 3D  |    |
                     |     154771.43965    |  2.2814e 04| AAA  |    24.37116465485       -     24.451272580990     |  1s.8p - 1s.10d |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     154771.67708    |  1.7109e 04| AAA  |    24.37116478815       -     24.451272591392     |  1s.8p - 1s.10d |  3P* - 3D  |    |
                     |     154774.55861    |  1.2674e 04| AAA  |    24.37116642567       -     24.451272737498     |  1s.8p - 1s.10d |  3P* - 3D  |    |
                     |     160641.2634     |  1.4688e 04| AAA  |    24.2982846847        -     24.37546547115      |  1s.7s - 1s.8p  |  1S  - 1P* |    |
                     |     161104.40036    |  1.0063e 04| AAA  |    24.374718318287      -     24.45167722834      |  1s.8d - 1s.10p |  1D  - 1P* |    |
                     |     161735.999032   |  9.659e 02 | AA   |    24.374679653829      -     24.4513380300064    |  1s.8d - 1s.10f |  3D  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     161736.041560   |  7.452e 03 | AA   |    24.374679673987      -     24.4513380300064    |  1s.8d - 1s.10f |  3D  - 1F* |    |
                     |     161736.234365   |  1.7457e 02| AAA  |    24.374679653829      -     24.4513379184654    |  1s.8d - 1s.10f |  3D  - 3F* |    |
                     |     161736.276893   |  6.1094e 03| AAA  |    24.374679673987      -     24.4513379184654    |  1s.8d - 1s.10f |  3D  - 3F* |    |
                     |     161736.378463   |  3.9278e 04| AAA  |    24.374679653829      -     24.4513378501668    |  1s.8d - 1s.10f |  3D  - 3F* |    |
                     |     161736.455384   |  3.3983e 03| AAA  |    24.374679653829      -     24.4513378137089    |  1s.8d - 1s.10f |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     161736.497912   |  2.7462e 04| AAA  |    24.374679673987      -     24.4513378137089    |  1s.8d - 1s.10f |  3D  - 3F* |    |
                     |     161736.879353   |  3.2993e 04| AAA  |    24.374679959533      -     24.4513379184654    |  1s.8d - 1s.10f |  3D  - 3F* |    |
                     |     161817.615559   |  8.4274e 03| AAA  |    24.374718318287      -     24.4513380300064    |  1s.8d - 1s.10f |  1D  - 1F* |    |
                     |     161818.072371   |  8.4274e 03| AAA  |    24.374718318287      -     24.4513378137089    |  1s.8d - 1s.10f |  1D  - 3F* |    |
                     |     161984.695161   |  2.864e 03 | AA   |    24.3748056909070     -     24.4513463729940    |  1s.8f - 1s.10g |  3F* - 1G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     161984.751043   |  3.1567e 03| AAA  |    24.3748056909070     -     24.4513463465888    |  1s.8f - 1s.10g |  3F* - 3G  |    |
                     |     161984.854141   |  1.541e 03 | AA   |    24.3748057660277     -     24.4513463729940    |  1s.8f - 1s.10g |  3F* - 1G  |    |
                     |     161984.910023   |  6.5566e 01| AAA  |    24.3748057660277     -     24.4513463465888    |  1s.8f - 1s.10g |  3F* - 3G  |    |
                     |     161984.924253   |  4.6085e 04| AAA  |    24.3748056909070     -     24.4513462647440    |  1s.8f - 1s.10g |  3F* - 3G  |    |
                     |     161984.992617   |  5.1404e 04| AAA  |    24.3748057660277     -     24.4513463075614    |  1s.8f - 1s.10g |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     161985.083233   |  1.6715e 03| AAA  |    24.3748057660277     -     24.4513462647440    |  1s.8f - 1s.10g |  3F* - 3G  |    |
                     |     161985.192377   |  4.7207e 04| AAA  |    24.3748058994448     -     24.4513463465888    |  1s.8f - 1s.10g |  3F* - 3G  |    |
                     |     161985.569576   |  4.6999e 04| AAA  |    24.3748061040817     -     24.4513463729940    |  1s.8f - 1s.10g |  1F* - 1G  |    |
                     |     161985.625459   |  9.739e 02 | AA   |    24.3748061040817     -     24.4513463465888    |  1s.8f - 1s.10g |  1F* - 3G  |    |
                     |     161985.798671   |  3.647e 03 | AA   |    24.3748061040817     -     24.4513462647440    |  1s.8f - 1s.10g |  1F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162014.7854932  |  1.851e 00 | AA   |    24.3748219199859     -     24.4513483864904    |  1s.8g - 1s.10h |  3G  - 1H* |    |
                     |     162014.8255915  |  1.6026e 03| AAA  |    24.3748219199859     -     24.4513483675503    |  1s.8g - 1s.10h |  3G  - 3H* |    |
                     |     162014.9385262  |  6.1727e 04| AAA  |    24.3748219199859     -     24.4513483142065    |  1s.8g - 1s.10h |  3G  - 3H* |    |
                     |     162014.9626622  |  1.222e 03 | AA   |    24.3748220036703     -     24.4513483864904    |  1s.8g - 1s.10h |  3G  - 1H* |    |
                     |     162015.0027606  |  3.1131e 01| AAA  |    24.3748220036703     -     24.4513483675503    |  1s.8g - 1s.10h |  3G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162015.0564932  |  6.3040e 04| AAA  |    24.3748220036703     -     24.4513483421703    |  1s.8g - 1s.10h |  3G  - 3H* |    |
                     |     162015.1156956  |  1.2993e 03| AAA  |    24.3748220036703     -     24.4513483142065    |  1s.8g - 1s.10h |  3G  - 3H* |    |
                     |     162015.1641476  |  5.9927e 04| AAA  |    24.3748220799000     -     24.4513483675503    |  1s.8g - 1s.10h |  3G  - 3H* |    |
                     |     162015.2331007  |  6.1816e 04| AAA  |    24.3748221314095     -     24.4513483864904    |  1s.8g - 1s.10h |  1G  - 1H* |    |
                     |     162015.2731993  |  1.479e 03 | AA   |    24.3748221314095     -     24.4513483675503    |  1s.8g - 1s.10h |  1G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162015.3861346  |  1.376e 01 | AA   |    24.3748221314095     -     24.4513483142065    |  1s.8g - 1s.10h |  1G  - 3H* |    |
                     |     162021.67626671 |  1.544e 00 | AA   |    24.3748258143104     -     24.4513490261481    |  1s.8h - 1s.10i |  3H* - 1I  |    |
                     |     162021.70633006 |  1.2106e 03| AAA  |    24.3748258143104     -     24.4513490119491    |  1s.8h - 1s.10i |  3H* - 3I  |    |
                     |     162021.78569725 |  7.0547e 04| AAA  |    24.3748258143104     -     24.4513489744638    |  1s.8h - 1s.10i |  3H* - 3I  |    |
                     |     162021.79190599 |  9.684e 02 | AA   |    24.3748258689271     -     24.4513490261481    |  1s.8h - 1s.10i |  3H* - 1I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162021.82196938 |  1.6431e 01| AAA  |    24.3748258689271     -     24.4513490119491    |  1s.8h - 1s.10i |  3H* - 3I  |    |
                     |     162021.85980892 |  7.1573e 04| AAA  |    24.3748258689271     -     24.4513489940775    |  1s.8h - 1s.10i |  3H* - 3I  |    |
                     |     162021.90133668 |  1.0197e 03| AAA  |    24.3748258689271     -     24.4513489744638    |  1s.8h - 1s.10i |  3H* - 3I  |    |
                     |     162021.92692672 |  6.9207e 04| AAA  |    24.3748259184985     -     24.4513490119491    |  1s.8h - 1s.10i |  3H* - 3I  |    |
                     |     162021.97518602 |  7.0603e 04| AAA  |    24.3748259554903     -     24.4513490261481    |  1s.8h - 1s.10i |  1H* - 1I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162022.00524948 |  1.139e 03 | AA   |    24.3748259554903     -     24.4513490119491    |  1s.8h - 1s.10i |  1H* - 3I  |    |
                     |     162022.08461697 |  6.240e 00 | AA   |    24.3748259554903     -     24.4513489744638    |  1s.8h - 1s.10i |  1H* - 3I  |    |
                     |     162025.37521342 |  1.5270e 00| AAA  |    24.3748275292209     -     24.4513489940775    |  1s.8k - 1s.10i |  3K* - 3I  |    |
                     |     162025.41674299 |  1.6713e 02| AAA  |    24.3748275292209     -     24.4513489744638    |  1s.8k - 1s.10i |  3K* - 3I  |    |
                     |     162025.42222615 |  1.679e 00 | AA   |    24.3748275834948     -     24.4513490261481    |  1s.8k - 1s.10i |  3K* - 1I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |     162025.43519375 |  1.6590e 02| AAA  |    24.3748275575485     -     24.4513489940775    |  1s.8k - 1s.10i |  3K* - 3I  |    |
                     |     162025.45229089 |  1.6890e 02| AAA  |    24.3748275834948     -     24.4513490119491    |  1s.8k - 1s.10i |  3K* - 3I  |    |
                     |     162025.46771723 |  1.6721e 02| AAA  |    24.3748276049794     -     24.4513490261481    |  1s.8k - 1s.10i |  1K* - 1I  |    |
                     |     162025.53166176 |  1.7679e 00| AAA  |    24.3748275834948     -     24.4513489744638    |  1s.8k - 1s.10i |  3K* - 3I  |    |
                     |     162025.53562325 |  1.460e 00 | AA   |    24.3748276049794     -     24.4513489940775    |  1s.8k - 1s.10i |  1K* - 3I  |    |
                     |                     |            |      |                                                   |                 |            |    |
